sub_discipline_Id,sub_discipline_name,num_areas,areas
180,Comparative Animal Physiology,12,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
2,Circulation,4,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Philosophy of Mind; Ethics [Normative]
186,Speech Recognition,3,Philosophy of Cognitive Science; Philosophy of Language; Philosophy of Mind
104,Substance-abuse Treatment,1,Ethics [Applied - Biomedical]
508,Marine Pollution,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Biology; Feminism; Philosophy of Science
6,Neuroscience; Molecular & Cellular,10,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Epistemology [Formal]; Philosophy of Language; Feminism; Philosophy of Science
502,Socio-Cultural Anthropology,3,Social and Political Philosophy; African and African-American Philosophy; Medieval Philosophy
197,Public Health Service,1,Ethics [Applied - Biomedical]
501,Applied Math,4,Logic [Philosophical]; Logic [Computation and Agency]; Logic [Mathematical]; Philosophy of Mind
196,Botany,1,Philosophy of Biology
469,Preventive Medicine,4,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Philosophy of Mind; Ethics [Normative]
468,Archeological Science,8,20th Century Philosophy; Philosophy of Cognitive Science; Philosophy of Action; Ancient Philosophy [Aristotle]; Philosophy of Language; Medieval Philosophy; Philosophy of Mind; Philosophy of Science
464,Pychiatric & Behavioral Genetics,3,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Feminism
467,Cross Disciplinary Studies,1,Arabic and Islamic Philosophy
185,Nanotechnology,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Language; Feminism; Philosophy of Science
402,Molecular Medicine,1,Ethics [Applied - Biomedical]
463,Physics; Current Developments,13,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
99,BioStatistics,2,Ethics [Applied - Biomedical]; Philosophy of Biology
38,Semiconducting Materials,1,Philosophy of Physics [Spacetime]
169,Language Learning,2,Aesthetics; Philosophy of Language
228,Simulation,1,Philosophy of Physics [Quantum Mechanics]
91,AIDS Research,1,Ethics [Applied - Biomedical]
528,Aquatic Disease,1,Philosophy of Biology
224,Spine,1,Philosophy of Mind
160,Artificial Intelligence,8,Logic [Philosophical]; Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mind; Logic [and Language]; Epistemology [Formal]; Logic [Computation and Agency]; Philosophy of Science
161,Electro Analytical Chemistry,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
97,Atmospheric Science,1,Philosophy of Science
11,Affective Disorders,3,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Philosophy of Mind
10,Macromolecules & Polymers,12,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
13,Surface Science,14,20th Century Philosophy; Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Logic [Computation and Agency]; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Language; Philosophy of Physics [Spacetime]; Philosophy of Biology; Feminism; Philosophy of Science
12,Oncology,12,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mathematics; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
15,Hospital Financial Management,12,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Ethics [Applied]; Philosophy of Language; Feminism; Philosophy of Science
14,Nonlinear Analysis,1,Philosophy of Mathematics
17,Occupational Health,1,Ethics [Applied - Biomedical]
16,Rheumatology,11,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
19,Leukemia,10,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
18,Organic Chemistry,11,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
143,Memory & Cognition,13,Philosophy of Cognitive Science; 19th Century Philosophy; Ethics [Normative]; Philosophy of Language; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Logic [and Language]; Epistemology; Epistemology [Formal]; Philosophy of Biology; Metaphysics; Feminism; Philosophy of Science
88,Computational Chemistry,1,Ethics [Normative]
349,Hepatology,1,Ethics [Applied - Biomedical]
sub_discipline_Id,sub_discipline_name,0,
390,Psychiatric Nursing,3,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Philosophy of Mind
111,Mechanical Design Engineering,2,Ethics [Applied - Information Technology]; Philosophy of Science
544,Insects,1,Philosophy of Physics [Quantum Mechanics]
151,BioEthics,4,Ethics [Applied - Biomedical]; Philosophy of Biology; Feminism; Ethics [Normative]
150,Psychosis; Schizophrenia,10,Philosophy of Cognitive Science; Philosophy of Mathematics; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
116,Tropical Medicine,1,Ethics [Applied - Biomedical]
154,Gerontology,1,Ethics [Applied - Biomedical]
157,Geology & Tectonics,13,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
156,Discrete Applied Mathematics,2,Logic [Computation and Agency]; Philosophy of Mind
158,GeoChemistry,11,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Biology; Feminism; Philosophy of Science
62,Bone Joint Surgery,1,Ethics [Applied - Biomedical]
112,Classics,6,Social and Political Philosophy; Ancient Philosophy; Ancient Philosophy [Plato]; Ancient Philosophy [Aristotle]; Medieval Philosophy; Metaphysics
361,Microbiology Biotechnology,10,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Biology; Feminism; Philosophy of Science
278,Applied Physiology; Muscle,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
238,Diabetes Metabolism,12,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
83,Dietetics,1,Ethics [Applied - Biomedical]
234,Symbolic Interaction,1,Aesthetics
236,General Practice,1,Ethics [Applied - Biomedical]
237,Environmental Management,1,Feminism
231,Forest Science,1,Aesthetics
233,Proteomics,13,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mathematics; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
48,Molecular Cell Biology,11,Philosophy of Cognitive Science; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
473,Pharmaco Economics,1,Ethics [Applied - Biomedical]
274,Biotechnology Trends,2,Ethics [Applied - Biomedical]; Philosophy of Biology
44,Neurosurgery,3,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Philosophy of Mind
45,Fertility,11,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Biology; Feminism; Philosophy of Science
42,Nutrition,10,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Biology; Feminism; Philosophy of Science
40,Clinical Neurophysiology,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Language; Feminism; Philosophy of Science
322,Space Research,10,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Biology; Feminism; Philosophy of Science
418,Educational Psychology,6,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Language; Philosophy of Mind; Philosophy of Science
320,Mutation; DNA Repair,12,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
321,Human Evolution,11,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
325,Plant Ecology,3,Ethics [Normative]; Philosophy of Biology; Philosophy of Science
9,Immunology,13,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Epistemology [Formal]; Philosophy of Language; Feminism; Philosophy of Science
329,Personality,2,Philosophy of Cognitive Science; Philosophy of Mind
477,Consciousness,20,20th Century Philosophy; Philosophy of Cognitive Science; Ethics [Applied - Information Technology]; Philosophy of Mathematics; Logic [Computation and Agency]; Logic [and Language]; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Epistemology; Epistemology [Formal]; Philosophy of Language; Logic [Philosophy of]; Logic [Philosophical]; 19th Century Philosophy; Ethics [Normative]; Philosophy of Mind; Ethics [Metaethics]; Philosophy of Biology; Metaphysics; Philosophy of Science
200,Radiation Protection,12,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
144,Vision,11,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Epistemology [Formal]; Philosophy of Biology; Feminism; Philosophy of Science
466,Emergency Medicine,1,Ethics [Applied - Biomedical]
205,Thrombosis,1,Ethics [Applied - Biomedical]
204,Birth Defects,2,Ethics [Applied - Biomedical]; Philosophy of Biology
221,Functional Analysis,3,Logic [Mathematical]; Logic [History - Contemporary]; Philosophy of Mathematics
209,English Literature,8,20th Century Philosophy; Philosophy of Cognitive Science; Social and Political Philosophy; African and African-American Philosophy; Ethics [Normative]; Philosophy of Language; Philosophy of Law; Feminism
208,Artificial Evolution,2,Logic [Computation and Agency]; Philosophy of Mind
148,Pharmacy,1,Philosophy of Biology
77,Cardiovascular,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
76,Pediatrics,1,Ethics [Applied - Biomedical]
74,Operations Research,1,Logic [Mathematical]
73,Sports Medicine,1,Ethics [Applied - Biomedical]
72,Oceanography,12,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
488,Social History,7,20th Century Philosophy; Philosophy of Cognitive Science; Ethics [Applied - Information Technology]; 17th Century Philosophy; Medieval Philosophy; Feminism; Philosophy of Science
487,Fish Biology,1,Philosophy of Mind
485,Headache,3,Philosophy of Cognitive Science; Ethics [Applied - Biomedical]; Philosophy of Mind
79,Economics,8,20th Century Philosophy; Ethics [Metaethics]; Social and Political Philosophy; 19th Century Philosophy; Ethics [Normative]; Epistemology [Formal]; Ethics [Applied - Biomedical]; Logic [History - Contemporary]
78,Paleobiology,10,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Language; Feminism; Philosophy of Science
121,Integrated Circuit Design,1,Philosophy of Physics [Spacetime]
261,Political Studies,4,20th Century Philosophy; Epistemology [Formal]; Social and Political Philosophy; 17th Century Philosophy
404,Ecological Modeling,1,Philosophy of Biology
357,Wildlife Management,1,Philosophy of Biology
46,Applied Optics,11,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Language; Feminism; Philosophy of Science
1,Clinical Cancer Research,13,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mathematics; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
353,Geophysical Science,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Language; Feminism; Philosophy of Science
352,World Health Organization,1,Ethics [Applied - Biomedical]
351,Computational Math,1,Philosophy of Mathematics
475,Medical Practice,1,Ethics [Applied - Biomedical]
267,International Conflict,1,Social and Political Philosophy
126,Strategic Management,1,Ethics [Applied - Biomedical]
